origin,destination,date,time,carrier,cabin,price
Kenya,Rome,2025-12-10,09:15,EuroAir,economy,150
Kenya,Rome,2025-12-11,12:15,EuroAir,economy,145
Kenya,Rome,2025-12-19,20:15,EuroAir,premium,200
Kenya,Rome,2025-12-20,11:19,EuroAir,business,120
Rome,Kenya,2025-12-27,09:00,EuroAir,economy,130
Rome,Kenya,2025-12-27,08:00,EuroAir,economy,130
Rome,Kenya,2025-12-27,09:50,EuroAir,business,175
Rome,Kenya,2025-12-28,11:00,EuroAir,premium,240
London,Miami,2025-12-20,18:40,EuroAir,business,280
London,Miami,2025-12-20,18:40,EuroAir,business,280
London,Miami,2025-12-20,18:40,EuroAir,business,280
Miami,London,2025-12-27,12:30,EuroAir,economy,250
Miami,London,2025-12-27,17:30,EuroAir,economy,254
Miami,London,2025-12-28,18:30,EuroAir,business,300
Lagos,Rome,2025-12-20,13:25,CityFly,economy,140
Lagos,Rome,2025-12-20,15:25,CityFly,economy,150
Lagos,Rome,2025-12-21,13:25,CityFly,business,180
Rome,Lagos,2025-12-27,14:15,CityFly,economy,140
Rome,Lagos,2025-12-27,14:44,CityFly,economy,145
Rome,Lagos,2025-12-27,18:55,CityFly,economy,166
Rome,Lagos,2025-12-27,14:10,CityFly,premium,188
Atlanta,Abuja,2025-12-12,08:05,CityFly,economy,90
Abuja,Atlanta,2025-12-19,09:05,CityFly,economy,95
Tokyo,Paris,2025-12-17,08:30,EuroAir,economy,199
Paris,Tokyo,2025-12-24,09:20,EuroAir,economy,210
Nottingham,Kentucky,2025-12-12,19:10,EuroAir,premium,160
Nottingham,Kentucky,2025-12-12,20:10,EuroAir,first,140
Kentucky,Nottingham,2025-12-19,18:45,EuroAir,premium,165
Kentucky,Nottingham,2025-12-19,18:00,EuroAir,first,145
London,Paris,2025-12-20,08:40,BA,economy,79
Paris,London,2025-12-27,09:30,BA,economy,85
London,Paris,2025-12-20,20:00,Virgin Atlantic,economy,150
Paris,London,2025-12-27,20:50,Virgin Atlantic,economy,155
London,Rome,2025-12-22,17:00,EasyJet,economy,200
London,Rome,2025-12-22,16:30,EasyJet,business,250
London,Rome,2025-12-22,16:00,EasyJet,business,255
London,Rome,2025-12-22,10:00,EasyJet,first,280
Rome,London,2025-12-29,15:40,EasyJet,business,245
Rome,London,2025-12-29,15:40,EasyJet,first,295
Rome,London,2025-12-29,15:40,EasyJet,economy,215
Manchester,Doha,2025-12-16,12:30,Qatar Airways,economy,430
Doha,Manchester,2025-12-23,11:30,Qatar Airways,economy,420
Manchester,Doha,2025-12-16,23:10,Qatar Airways,business,980
Doha,Manchester,2025-12-23,22:00,Qatar Airways,business,970
